row_id,true_label,true_class,ensemble_oof_score,best_f1_threshold,predicted_label_best_f1,predicted_class_best_f1,plot_x,plot_y
0,0,FALSE,0.192060762396102,0.88,0,FALSE,0.09862417748014679,0.192060762396102
1,0,FALSE,0.5746632272857553,0.88,0,FALSE,-0.02200376168926116,0.5746632272857553
2,0,FALSE,0.3577242762969332,0.88,0,FALSE,0.12909525116809767,0.3577242762969332
3,0,FALSE,0.2732158211521925,0.88,0,FALSE,0.07105249046137102,0.2732158211521925
4,0,FALSE,0.5335626253940957,0.88,0,FALSE,-0.14609615476044616,0.5335626253940957
5,0,FALSE,0.6691028948122671,0.88,0,FALSE,0.17122404658923213,0.6691028948122671
6,0,FALSE,0.0959730581828604,0.88,0,FALSE,0.09401029271652706,0.0959730581828604
7,0,FALSE,0.1879621668099741,0.88,0,FALSE,0.10298314989970336,0.1879621668099741
8,0,FALSE,0.1828030954428203,0.88,0,FALSE,-0.13387909223680347,0.1828030954428203
9,0,FALSE,0.7972484952708512,0.88,0,FALSE,-0.017861062357595825,0.7972484952708512
10,0,FALSE,0.6468472341645171,0.88,0,FALSE,-0.04651271127627074,0.6468472341645171
11,0,FALSE,0.7279736314130123,0.88,0,FALSE,0.15363539598549664,0.7279736314130123
12,0,FALSE,0.760146173688736,0.88,0,FALSE,0.051791443229039225,0.760146173688736
13,0,FALSE,0.502579535683577,0.88,0,FALSE,0.11619418077749877,0.502579535683577
14,0,FALSE,0.656305531670966,0.88,0,FALSE,-0.020370888422160782,0.656305531670966
15,0,FALSE,0.5962596732588133,0.88,0,FALSE,-0.09819406015748032,0.5962596732588133
16,0,FALSE,0.2898251648036686,0.88,0,FALSE,0.019650523325700525,0.2898251648036686
17,0,FALSE,0.8782029234737747,0.88,0,FALSE,-0.15702578780249687,0.8782029234737747
18,0,FALSE,0.5480653482373172,0.88,0,FALSE,0.11794722191732954,0.5480653482373172
19,0,FALSE,0.2418887933505302,0.88,0,FALSE,0.04739918368394333,0.2418887933505302
20,0,FALSE,0.05048724562912,0.88,0,FALSE,0.09291158643073455,0.05048724562912
21,0,FALSE,0.2837632559472628,0.88,0,FALSE,-0.052370651473247376,0.2837632559472628
22,0,FALSE,0.3803238750358269,0.88,0,FALSE,0.16945128878216514,0.3803238750358269
23,0,FALSE,0.3356549154485526,0.88,0,FALSE,0.14152360367599115,0.3356549154485526
24,0,FALSE,0.0885640584694754,0.88,0,FALSE,0.10021805894655428,0.0885640584694754
25,0,FALSE,0.088091143594153,0.88,0,FALSE,-0.10993006517329167,0.088091143594153
26,0,FALSE,0.3315419891086271,0.88,0,FALSE,-0.0119804386582677,0.3315419891086271
27,0,FALSE,0.6721553453711665,0.88,0,FALSE,-0.16423064431659765,0.6721553453711665
28,0,FALSE,0.7563198624247636,0.88,0,FALSE,-0.12445578285568278,0.7563198624247636
29,0,FALSE,0.606018916595013,0.88,0,FALSE,0.06589762316728368,0.606018916595013
30,0,FALSE,0.3244482659787905,0.88,0,FALSE,0.08811437612681416,0.3244482659787905
31,0,FALSE,0.4411149326454572,0.88,0,FALSE,0.16830350367631558,0.4411149326454572
32,0,FALSE,0.5419031241043278,0.88,0,FALSE,-0.0627028710702653,0.5419031241043278
33,0,FALSE,0.2396531957580968,0.88,0,FALSE,-0.04663450582744719,0.2396531957580968
34,0,FALSE,0.8591143594153052,0.88,0,FALSE,-0.01095990794070914,0.8591143594153052
35,0,FALSE,0.4838635712238464,0.88,0,FALSE,-0.11179031072965714,0.4838635712238464
36,0,FALSE,0.6473631413012324,0.88,0,FALSE,-0.1332282580792302,0.6473631413012324
37,0,FALSE,0.7829607337345945,0.88,0,FALSE,-0.008746226558663861,0.7829607337345945
38,0,FALSE,0.2782602464889653,0.88,0,FALSE,-0.09831263434168172,0.2782602464889653
39,0,FALSE,0.5536543422184007,0.88,0,FALSE,0.06113303808570372,0.5536543422184007
40,0,FALSE,0.6481083404987102,0.88,0,FALSE,-0.022625309205960925,0.6481083404987102
41,0,FALSE,0.2546861564918314,0.88,0,FALSE,0.11976415058082146,0.2546861564918314
42,0,FALSE,0.6110203496703926,0.88,0,FALSE,0.0720954367208097,0.6110203496703926
43,0,FALSE,0.1407996560619088,0.88,0,FALSE,-0.06754800910246521,0.1407996560619088
44,0,FALSE,0.5087417598165664,0.88,0,FALSE,0.11961352850227236,0.5087417598165664
45,0,FALSE,0.3186013184293493,0.88,0,FALSE,0.10971516869884868,0.3186013184293493
46,0,FALSE,0.693737460590427,0.88,0,FALSE,-0.0405077835491372,0.693737460590427
47,0,FALSE,0.9763184293493838,0.88,1,TRUE,-0.07620188258511212,0.9763184293493838
48,0,FALSE,0.2198624247635425,0.88,0,FALSE,0.06569838143099119,0.2198624247635425
49,0,FALSE,0.9138721696761248,0.88,1,TRUE,-0.12968910590064847,0.9138721696761248
50,0,FALSE,0.0737675551734021,0.88,0,FALSE,-0.108033047108961,0.0737675551734021
51,0,FALSE,0.6625967325881341,0.88,0,FALSE,-0.177349582889638,0.6625967325881341
52,0,FALSE,0.5998280309544282,0.88,0,FALSE,0.1032927759007698,0.5998280309544282
53,0,FALSE,0.8909859558612784,0.88,1,TRUE,0.05934630837313157,0.8909859558612784
54,0,FALSE,0.5680997420464317,0.88,0,FALSE,0.07385953630548064,0.5680997420464317
55,0,FALSE,0.1202493551160791,0.88,0,FALSE,0.10106245116790846,0.1202493551160791
56,0,FALSE,0.4087417598165663,0.88,0,FALSE,-0.014790320806197604,0.4087417598165663
57,0,FALSE,0.1916021782745772,0.88,0,FALSE,0.024746830543041748,0.1916021782745772
58,0,FALSE,0.1103754657494984,0.88,0,FALSE,-0.12967308067404332,0.1103754657494984
59,0,FALSE,0.2666236744052737,0.88,0,FALSE,-0.13876917352704954,0.2666236744052737
60,0,FALSE,0.7201347090856979,0.88,0,FALSE,0.060625066244569786,0.7201347090856979
61,0,FALSE,0.4872456291200917,0.88,0,FALSE,-0.010405365788472287,0.4872456291200917
62,0,FALSE,0.318572656921754,0.88,0,FALSE,0.02348499833322798,0.318572656921754
63,0,FALSE,0.0713384924047005,0.88,0,FALSE,0.09539958866976922,0.0713384924047005
64,0,FALSE,0.9211235310977358,0.88,1,TRUE,0.048498595200212685,0.9211235310977358
65,0,FALSE,0.7252937804528518,0.88,0,FALSE,0.019288584236878487,0.7252937804528518
66,0,FALSE,0.6004872456291201,0.88,0,FALSE,0.021314577868348866,0.6004872456291201
67,0,FALSE,0.6649613069647463,0.88,0,FALSE,-0.07057796469745961,0.6649613069647463
68,0,FALSE,0.679220406993408,0.88,0,FALSE,-0.1689055795555418,0.679220406993408
69,0,FALSE,0.1009601605044425,0.88,0,FALSE,-0.022781739876349544,0.1009601605044425
70,0,FALSE,0.0728002292920607,0.88,0,FALSE,-0.10274951778496949,0.0728002292920607
71,0,FALSE,0.4390083118372027,0.88,0,FALSE,-0.03292968825913098,0.4390083118372027
72,0,FALSE,0.4515620521639438,0.88,0,FALSE,0.12722510637653978,0.4515620521639438
73,0,FALSE,0.1633419317856119,0.88,0,FALSE,-0.09578178508847733,0.1633419317856119
74,0,FALSE,0.4409429635998854,0.88,0,FALSE,-0.15901101299193623,0.4409429635998854
75,0,FALSE,0.8183003725995988,0.88,0,FALSE,-0.07870179887208124,0.8183003725995988
76,0,FALSE,0.2953711665233591,0.88,0,FALSE,-0.0743062472039939,0.2953711665233591
77,0,FALSE,0.4407423330467182,0.88,0,FALSE,0.05828994530168222,0.4407423330467182
78,0,FALSE,0.2375895672112353,0.88,0,FALSE,0.020531574842860195,0.2375895672112353
79,0,FALSE,0.5168099742046431,0.88,0,FALSE,0.10220335527830887,0.5168099742046431
80,0,FALSE,0.3700773860705073,0.88,0,FALSE,0.0591528745178595,0.3700773860705073
81,0,FALSE,0.806663800515907,0.88,0,FALSE,-0.033700729881574604,0.806663800515907
82,0,FALSE,0.4098308971051877,0.88,0,FALSE,0.1130473384797725,0.4098308971051877
83,0,FALSE,0.8101748351963314,0.88,0,FALSE,-0.11988974883322659,0.8101748351963314
